# gunzip -c /home3/ztkyaw/w2021/deliverables/contrast-zin-dev/baseline/tdnnf-transfer-sp/decode_imda-part2_1629889191-hw_lmg/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /home3/ztkyaw/w2021/deliverables/contrast-zin-dev/output/expEX2/graph 
# Invoked at Wed Aug 25 19:09:31 +08 2021 from node02
#
# Started at Wed Aug 25 19:10:29 +08 2021 on node01
At utterance begin, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.8,23) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.4,21) frames.
Overall, nonsilence accounts for 91.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,6) frames.
Overall, SIL accounts for 8.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.2,21) frames.
Overall, a_eng_I accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.5,5) frames.
Overall, n_eng_I accounts for 6.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,5) frames.
Overall, e_eng_I accounts for 6.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.1,4) frames.
Overall, o_eng_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.7,5) frames.
Overall, i_eng_I accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,5) frames.
Overall, r_eng_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.0,4) frames.
Overall, t_eng_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,4) frames.
Overall, l_eng_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.0,4) frames.
Overall, s_eng_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.6,5) frames.
Overall, e_WB_eng_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,7) frames.
Overall, u_eng_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.5,6) frames.
Overall, h_eng_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.7,4) frames.
Overall, d_WB_eng_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,4) frames.
Overall, g_eng_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.6,3) frames.
Overall, c_eng_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,4) frames.
Overall, a_WB_eng_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,5) frames.
Overall, m_eng_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.8,5) frames.
Overall, p_eng_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.6,4) frames.
Overall, s_WB_eng_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,6) frames.
Overall, t_WB_eng_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,4) frames.
Overall, t_WB_eng_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.4,8) frames.
Overall, b_eng_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.7,4) frames.
Overall, c_WB_eng_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.8,4) frames.
Overall, k_eng_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.6,4) frames.
Overall, d_eng_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.9,4) frames.
Overall, y_WB_eng_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,11) frames.
Overall, b_WB_eng_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,5) frames.
Overall, v_eng_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,4) frames.
